,Rk,Team,TM,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Poss,OppPts,OFFRTG,DEFRTG,NETRTG,MIN,TS%
0,1,Los Angeles Clippers,LAC,10,2425,429,867,0.495,122,323,0.37799999999999995,307,544,0.564,210,267,0.787,92,365,457,212,73,36,132,234,1190,7,983.5,445,121.0,45.2,75.8,242.5,60.4
1,2,Denver Nuggets,DEN,11,2665,428,939,0.456,150,389,0.386,278,550,0.505,163,200,0.815,113,340,453,244,66,50,140,244,1169,5,1011.8,449,115.5,44.4,71.1,242.3,56.9
2,3,Toronto Raptors,TOR,10,2450,399,898,0.444,153,415,0.369,246,483,0.509,165,215,0.767,83,364,447,256,77,54,126,224,1116,7,994.2,505,112.3,50.8,61.5,245.0,56.2
3,4,Milwaukee Bucks,MIL,10,2425,401,871,0.46,133,371,0.358,268,500,0.536,176,243,0.7240000000000001,94,373,467,243,72,42,149,217,1111,5,991.6,581,112.0,58.6,53.4,242.5,56.8
4,5,Houston Rockets,HOU,10,2425,388,875,0.44299999999999995,176,479,0.36700000000000005,212,396,0.535,144,179,0.804,70,339,409,214,93,33,132,219,1096,5,975.1,586,112.4,60.1,52.3,242.5,57.5
5,6,Boston Celtics,BOS,10,2450,381,839,0.45399999999999996,127,361,0.35200000000000004,254,478,0.531,203,247,0.8220000000000001,79,380,459,213,63,54,140,219,1092,7,968.3,760,112.8,78.5,34.3,245.0,57.6
6,7,Miami Heat,MIA,9,2185,336,729,0.461,127,334,0.38,209,395,0.529,210,256,0.82,76,328,404,220,72,37,133,170,1009,8,862.7,770,117.0,89.3,27.7,242.8,59.9
7,8,Los Angeles Lakers,LAL,8,1920,339,686,0.494,93,270,0.344,246,416,0.591,141,200,0.705,90,277,367,203,69,49,123,166,912,6,774.7,773,117.7,99.8,17.9,240.0,58.9
8,9,Utah Jazz,UTA,7,1705,279,573,0.48700000000000004,110,261,0.42100000000000004,169,312,0.542,126,163,0.773,65,223,288,150,43,22,84,133,794,3,637.2,856,124.6,134.3,-9.7,243.6,61.6
9,10,Oklahoma City Thunder,OKC,7,1705,257,598,0.43,84,256,0.32799999999999996,173,342,0.506,130,168,0.774,63,286,349,125,37,28,119,120,728,3,698.8,933,104.2,133.5,-29.3,243.6,54.2
10,11,Dallas Mavericks,DAL,6,1465,253,535,0.473,81,225,0.36,172,310,0.555,115,159,0.723,46,213,259,129,39,22,76,135,702,2,609.6,1013,115.2,166.2,-51.0,244.2,58.0
11,12,Orlando Magic,ORL,5,1200,186,443,0.42,75,199,0.377,111,244,0.455,88,105,0.838,33,182,215,119,34,16,73,105,535,1,508.0,1054,105.3,207.5,-102.2,240.0,54.7
12,13,Portland Trail Blazers,POR,5,1200,188,441,0.426,58,153,0.379,130,288,0.451,99,125,0.792,49,165,214,89,37,18,80,125,533,1,505.9,1066,105.4,210.7,-105.3,240.0,53.7
13,14,Brooklyn Nets,BRK,4,960,145,365,0.397,62,184,0.337,83,181,0.45899999999999996,71,98,0.7240000000000001,37,140,177,103,20,18,58,85,423,0,412.0,1099,102.7,266.7,-164.0,240.0,51.8
14,15,Indiana Pacers,IND,4,960,146,321,0.455,48,128,0.375,98,193,0.508,63,81,0.778,23,123,146,90,37,22,61,93,403,0,378.9,1101,106.4,290.6,-184.2,240.0,56.5
15,16,Philadelphia 76ers,PHI,4,960,133,336,0.396,32,121,0.264,101,215,0.47,104,128,0.813,49,135,184,70,20,18,48,89,402,0,375.7,1224,107.0,325.8,-218.8,240.0,51.2
