,Name,Age,Team,MP,Tot_Stats,OR%,DR%,TR%,ST%,BLK%,AST%,USG%,TO%,TS%,gBPM,BPM,VORP,L of Im,Q of Im,WinC,Value,Pos
0,Jaylen Adams,23,POR,21,0.424,5.0,10.1,7.5,2.3,0.0,14.9,17.9,0.0,0.333,1.0,-28.5,-0.1,0.0,-5.8,-0.0,0.2,PG
1,Steven Adams,26,OKC,210,5.766223684210527,17.6,22.6,20.2,0.9,1.2,7.1,15.8,0.208,0.584,5.7,-5.8,-0.2,0.0,0.5,0.0,2.9,C
2,Bam Adebayo,22,MIA,318,10.985548037889039,10.7,26.1,18.9,1.3,2.1,22.5,20.1,0.169,0.617,9.5,9.3,0.9,0.1,4.7,0.6,5.8,PF
3,Jarrett Allen,21,BRK,132,4.81511855670103,12.1,34.5,22.5,0.7,5.1,10.5,13.1,0.262,0.66,8.1,-35.7,-1.1,0.0,-0.4,-0.0,2.4,C
4,Justin Anderson,26,BRK,28,1.0487093023255816,0.0,31.0,14.4,0.0,3.4,18.6,23.2,0.127,0.69,9.8,-34.0,-0.2,0.0,-0.2,-0.0,0.5,SF
5,Giannis Antetokounmpo,25,MIL,277,14.110421480878763,10.3,38.2,24.0,1.1,3.1,36.7,35.2,0.132,0.61,17.2,23.8,1.8,0.1,3.9,0.5,7.3,PF
6,Carmelo Anthony,35,POR,176,2.8777130528586836,0.6,14.4,7.5,1.4,1.0,9.1,20.6,0.149,0.512,1.7,-27.8,-1.2,0.0,-4.3,-0.0,1.4,PF
7,OG Anunoby,22,TOR,357,7.867163832434674,7.0,14.0,10.4,1.5,3.9,4.8,13.7,0.135,0.575,7.5,15.4,1.5,0.1,2.0,0.2,4.0,SF
8,D.J. Augustin,32,ORL,128,3.232387740555952,0.0,8.4,4.0,0.4,0.0,36.9,22.7,0.176,0.588,1.7,-27.3,-0.8,0.0,-1.0,-0.0,1.6,PG
9,J.J. Barea,35,DAL,5,-0.0024137931034482916,0.0,0.0,0.0,0.0,0.0,0.0,28.6,0.301,0.647,-10.7,-28.3,-0.0,0.0,-6.6,-0.0,-0.0,PG
10,Keita Bates-Diop,24,DEN,22,0.37861224489795914,15.3,16.3,15.8,0.0,0.0,6.0,12.2,0.0,0.255,-2.4,8.4,0.1,0.0,-5.8,-0.0,0.2,SF
11,Darius Bazley,19,OKC,126,3.8514802259887007,1.7,36.0,19.5,0.0,2.9,7.3,14.2,0.145,0.65,4.4,-7.1,-0.2,0.0,2.0,0.0,1.9,PF
12,Patrick Beverley,31,LAC,91,1.9972377622377622,8.8,21.3,15.2,2.2,1.0,11.5,13.3,0.179,0.59,6.7,19.6,0.5,0.0,2.1,0.0,1.0,PG
13,Khem Birch,27,ORL,89,1.7114649681528664,9.9,19.4,14.4,0.5,0.0,11.3,11.4,0.21,0.637,4.2,-24.8,-0.5,0.0,2.2,0.0,0.9,C
14,Eric Bledsoe,30,MIL,267,7.482802631578948,2.0,14.7,8.2,2.0,2.4,29.0,21.3,0.174,0.48,4.6,11.2,0.9,0.1,-0.8,-0.1,3.7,PG
15,Bol Bol,20,DEN,17,1.1017361111111112,19.8,14.1,17.0,6.2,12.0,0.0,36.3,0.148,0.738,12.2,23.0,0.1,0.0,6.5,0.0,0.6,SF
16,Chris Boucher,27,TOR,43,0.7478881118881118,7.3,23.3,15.0,0.0,5.0,3.1,12.7,0.08,0.35,-1.1,6.8,0.1,0.0,-4.0,-0.0,0.4,PF
17,Tony Bradley,22,UTA,48,1.4581059602649007,24.9,31.1,28.1,2.2,4.0,2.7,15.7,0.249,0.373,-0.8,-8.6,-0.1,0.0,-2.4,-0.0,0.7,C
18,Jarrell Brantley,23,UTA,13,0.23540136054421765,27.6,8.8,18.0,0.0,7.5,18.8,24.8,0.145,0.085,-3.0,-10.8,-0.0,0.0,-10.7,-0.0,0.1,PF
19,Malcolm Brogdon,27,IND,160,4.809088463528195,0.0,12.8,6.2,1.3,0.0,41.8,25.1,0.115,0.556,6.5,-42.7,-1.7,0.0,-1.1,-0.0,2.4,PG
20,Jaylen Brown,23,BOS,383,9.6065401459854,2.5,18.3,11.0,1.7,1.8,8.9,25.5,0.115,0.547,4.5,6.6,0.8,0.2,0.9,0.2,4.9,SF
21,Sterling Brown,24,MIL,4,0.048,0.0,27.2,13.4,0.0,0.0,0.0,10.8,0.0,0.0,-13.0,-6.4,-0.0,0.0,-21.5,-0.0,0.0,SF
22,Trey Burke,27,DAL,156,3.7594447949526812,1.4,12.0,6.6,2.5,1.1,11.5,19.1,0.086,0.584,5.1,-12.5,-0.4,0.0,-1.5,-0.0,1.9,PG
23,Alec Burks,28,PHI,95,1.886163141993958,7.7,9.3,8.5,0.5,3.0,14.1,25.7,0.054,0.397,2.0,-55.4,-1.3,0.0,-6.0,-0.0,0.9,SG
24,Deonte Burton,26,OKC,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397,0.1,-11.4,-0.0,0.0,-23.5,-0.0,0.0,SG
25,Jimmy Butler,30,MIA,318,10.773834507961366,6.9,10.9,9.0,3.0,1.5,19.8,25.8,0.164,0.64,9.0,8.8,0.9,0.1,4.2,0.5,5.6,SF
26,Bruno Caboclo,24,HOU,2,0.248,0.0,56.4,27.5,24.8,0.0,0.0,22.3,0.0,1.0,30.7,36.0,0.0,0.0,30.6,0.0,0.1,C
27,Kentavious Caldwell-Pope,26,LAL,214,3.059568034557236,1.0,6.8,3.9,1.6,0.0,6.7,15.8,0.063,0.486,1.9,-0.5,0.1,0.1,-1.9,-0.1,1.5,SG
28,DeMarre Carroll,33,HOU,6,0.204,0.0,56.4,27.5,0.0,0.0,26.3,14.9,0.0,0.5,2.7,8.0,0.0,0.0,3.8,0.0,0.1,PF
29,Alex Caruso,25,LAL,186,3.6149779735682817,4.2,7.8,6.0,2.6,1.5,17.7,13.9,0.248,0.529,4.6,2.2,0.2,0.0,-1.0,-0.0,1.8,PG
31,Chris Chiozza,24,BRK,65,1.9187142857142856,1.4,8.3,4.7,3.7,0.0,41.4,18.2,0.104,0.446,5.4,-38.4,-0.6,0.0,-3.4,-0.0,1.0,PG
32,Gary Clark,25,ORL,144,3.0218409090909093,2.7,18.0,10.0,1.6,1.4,7.0,11.0,0.054,0.526,6.5,-22.5,-0.7,0.0,-0.6,-0.0,1.5,PF
33,Jordan Clarkson,27,UTA,200,4.5920000000000005,1.2,12.6,7.0,1.6,0.0,12.6,25.4,0.065,0.577,3.5,-4.3,-0.1,0.0,-0.7,-0.0,2.3,SG
34,Chris Clemons,22,HOU,4,0.048,0.0,28.2,13.7,0.0,0.0,0.0,0.0,0.0,0.577,-4.1,1.2,0.0,0.0,-21.6,-0.0,0.0,SG
35,Antonius Cleveland,25,DAL,9,0.192,12.0,0.0,6.1,5.4,0.0,0.0,23.9,0.0,0.4,-3.4,-21.0,-0.0,0.0,-5.0,-0.0,0.1,SG
36,Amir Coffey,22,LAC,7,0.38061855670103095,0.0,0.0,0.0,7.1,0.0,64.6,24.1,0.0,0.258,-7.9,5.0,0.0,0.0,0.6,0.0,0.2,SG
37,Mike Conley,32,UTA,165,5.37242345276873,2.2,7.7,5.0,2.6,0.6,25.0,22.3,0.064,0.672,10.0,2.2,0.2,0.0,4.9,0.1,2.7,PG
38,Pat Connaughton,27,MIL,171,3.2238617614269787,3.1,21.7,12.2,0.6,1.3,8.7,10.3,0.122,0.557,3.8,10.4,0.5,0.1,1.0,0.1,1.7,SG
39,Quinn Cook,26,LAL,19,0.47681720430107516,0.0,5.9,2.9,0.0,0.0,31.3,19.0,0.118,0.672,0.1,-2.3,-0.0,0.0,3.7,0.0,0.2,PG
40,Tyler Cook,22,DEN,4,0.096,0.0,59.9,29.0,0.0,0.0,0.0,0.0,0.0,0.672,-8.9,1.9,0.0,0.0,-22.4,-0.0,0.0,PF
41,Robert Covington,29,HOU,333,9.764436461607543,2.6,15.9,9.1,3.9,3.9,6.3,13.4,0.11,0.707,12.6,17.9,1.7,0.1,5.8,0.5,5.1,C
42,Torrey Craig,29,DEN,239,2.704748091603053,4.7,14.5,9.5,0.9,1.3,4.6,11.4,0.118,0.487,2.8,13.6,0.9,0.0,-3.6,-0.1,1.3,SF
43,Jae Crowder,29,MIA,270,6.669263616557735,2.2,20.4,11.8,1.3,0.7,9.8,16.4,0.071,0.626,7.5,7.3,0.6,0.1,3.7,0.4,3.5,SF
44,Seth Curry,29,DAL,173,2.9961884057971013,1.2,5.8,3.5,1.7,0.0,6.8,15.7,0.127,0.697,4.9,-12.7,-0.5,0.0,-0.3,-0.0,1.5,SG
45,Troy Daniels,28,DEN,25,0.31355465587044534,4.5,9.6,7.0,0.0,0.0,11.7,18.0,0.0,0.405,-1.7,9.1,0.1,0.0,-4.6,-0.0,0.2,SG
46,Anthony Davis,26,LAL,275,13.794518080509437,9.8,25.2,17.5,2.0,4.1,20.3,29.7,0.079,0.665,14.6,12.2,1.0,0.1,7.0,0.5,7.1,PF
47,Terence Davis,22,TOR,84,1.6367431421446386,2.5,14.6,8.3,0.6,0.0,12.9,19.9,0.158,0.67,4.2,12.1,0.3,0.0,2.1,0.0,0.8,SG
48,Hamidou Diallo,21,OKC,25,0.7480568181818182,8.7,16.1,12.6,0.0,9.8,6.7,27.7,0.124,0.462,1.5,-10.0,-0.1,0.0,-3.1,-0.0,0.4,SF
49,Donte DiVincenzo,23,MIL,165,3.6728561872909697,5.1,15.9,10.4,2.1,2.0,10.6,18.2,0.143,0.552,4.8,11.4,0.6,0.1,0.6,0.0,1.8,SG
