Rank,Name,Age,Team,MP,Tot_Stats,OR%,DR%,TR%,ST%,BLK%,AST%,USG%,TO%,TS%,gBPM,BPM,VORP,L of Im,Q of Im,WinC,Value,Pos
1,Giannis Antetokounmpo,25,MIL,1917,106.0992921,7.7,34.8,22.1,1.5,3,34.2,37.5,0.132,0.613,16.6,11.9,6.7,10.2,10.9,111.7,108.9,PF
2,James Harden,30,HOU,2483,111.365567,3.1,16.3,9.7,2.5,2.1,35.9,36.3,0.142,0.626,16.4,10.5,7.8,6.6,7.6,50.3,80.8,SG
3,Rudy Gobert,27,UTA,2333,87.21877024,10.6,30.6,20.8,1,5.1,6.5,16.2,0.15,0.699,9,1.9,2.3,6.7,9.2,61.2,74.2,C
4,Khris Middleton,28,MIL,1853,62.41357069,2.5,17,10.2,1.3,0.3,22.2,26.4,0.116,0.619,8.3,3.6,2.6,9.9,8.6,85.4,73.9,SF
5,Nikola Jokić,24,DEN,2336,97.63927036,8.1,26.7,17.4,1.8,1.8,35.2,26.6,0.158,0.605,14,8.5,6.2,5.5,7,38.2,67.9,C
6,Bam Adebayo,22,MIA,2417,90.33558116,8.3,24.2,16.6,1.7,3.5,24.2,21.2,0.176,0.598,10.5,4.5,3.9,5.7,7,39.9,65.1,PF
7,Damian Lillard,29,POR,2474,93.77384512,1.5,11.1,6.3,1.4,0.8,34.4,30.3,0.11,0.627,12.3,6.9,5.6,4.7,6.4,29.8,61.8,PG
8,LeBron James,35,LAL,2316,103.9701942,2.9,21.5,11.9,1.6,1.4,49.1,31.5,0.151,0.577,13.8,7.6,5.6,3.2,5.9,18.7,61.3,PG
9,Luka Dončić,20,DAL,2047,93.57580179,4.4,26,15.5,1.7,0.7,45.7,36.8,0.148,0.585,16.5,13.1,7.8,5.4,4.8,25.8,59.7,PG
10,Brook Lopez,31,MIL,1817,54.59135209,3.4,13,8.5,1.2,7.9,7.4,18.3,0.087,0.551,7.9,3.2,2.4,9.7,6.7,64.8,59.7,C
11,Anthony Davis,26,LAL,2131,94.83227732,6.8,22.1,14.2,2.1,5.9,15.1,29.3,0.104,0.61,11.7,5.5,4,2.9,8.2,23.9,59.4,PF
12,Hassan Whiteside,30,POR,2008,88.92013876,14.1,35.2,24.7,0.6,8.6,5.9,19.6,0.129,0.644,9,3.6,2.8,3.8,7,26.3,57.6,C
13,Jimmy Butler,30,MIA,1959,74.47875834,6.2,15,10.8,2.6,1.5,28.1,25.1,0.114,0.585,11,5,3.4,4.6,8.2,37.9,56.2,SF
14,Eric Bledsoe,30,MIL,1646,52.9579429,2.8,13.5,8.5,1.6,1.4,28.7,23.7,0.157,0.571,6.6,1.9,1.6,8.8,6.4,56.6,54.8,PG
15,Jayson Tatum,21,BOS,2265,75.53824597,3.2,19,11.3,2.2,2.7,14.5,28.6,0.102,0.567,8.5,4.7,3.8,6.8,4.6,31.4,53.5,PF
16,Chris Paul,34,OKC,2208,77.01506449,1.3,16.2,8.9,2.5,0.5,34,23.3,0.138,0.61,10.3,3.8,3.2,4.3,6.9,29.4,53.2,PG
17,George Hill,33,MIL,1271,34.49575264,4.1,9.3,6.9,1.7,0.3,19,15.5,0.119,0.659,7.5,2.8,1.5,6.8,9.9,67,50.7,PG
18,Kawhi Leonard,28,LAC,1848,78.28816966,3.1,19.1,11.2,2.7,1.6,26.4,33,0.102,0.589,11.8,7.4,4.4,3.1,6.8,20.9,49.6,SF
19,Domantas Sabonis,23,IND,2159,77.14546892,10.2,29.9,20.3,1.1,1.2,21.7,23.3,0.148,0.586,9.8,4.2,3.4,4.4,4.8,21.2,49.2,C
20,Devin Booker,23,PHO,2512,76.63918681,1.2,11.5,6.3,0.9,0.6,30,30,0.149,0.618,7.4,1.5,2.2,5.1,3.5,18.1,47.4,SG
21,Ben Simmons,23,PHI,2017,73.97841649,5.9,17.9,11.9,2.9,1.5,33.8,20.9,0.204,0.602,10.8,3.7,2.9,4,4.8,19,46.5,PG
22,DeMar DeRozan,30,SAS,2316,74.10652985,2,14.9,8.5,1.4,0.7,26.1,26.3,0.116,0.603,7.3,0.4,1.4,4.4,4,17.4,45.8,SF
23,Jarrett Allen,21,BRK,1852,65.66439603,13.7,25.6,20,1.2,4.6,8.9,14.9,0.117,0.664,10.7,6.4,3.9,2.5,10,24.6,45.1,C
24,Donte DiVincenzo,23,MIL,1520,42.56825818,4.6,15.5,10.3,2.6,1.2,13.6,17.3,0.141,0.557,7,2.3,1.7,8.1,5.8,47,44.8,SG
25,Jonas Valančiūnas,27,MEM,1845,72.28279081,12.8,33.5,23.3,0.8,3.5,10.9,21.5,0.133,0.631,8.5,3.5,2.6,2.8,5.4,15.3,43.8,C
26,Shai Gilgeous-Alexander,21,OKC,2428,69.00535295,2.2,16.6,9.5,1.6,1.8,15.2,23.7,0.103,0.568,6.6,0.1,1.3,4.7,3.8,17.7,43.4,SG
27,Kyle Lowry,33,TOR,2098,64.81843878,1.7,13,7.4,1.8,1,30.6,23.1,0.157,0.59,9.1,1.2,1.7,4,5.4,21.7,43.3,PG
28,Daniel Theis,27,BOS,1566,45.87941297,10.2,19.8,15.1,1.3,5.7,10.1,14.4,0.102,0.631,10.6,6.8,3.5,4.7,8.4,39.8,42.8,C
29,Tobias Harris,27,PHI,2469,69.18154885,3,18.9,10.8,1.1,1.5,14.6,23.9,0.076,0.556,6.6,-0.5,0.9,4.9,3.1,15,42.1,PF
30,Nikola Vučević,29,ORL,1998,75.50726585,7.5,28.7,18.1,1.3,2,19.5,25.8,0.074,0.549,10.7,3.2,2.6,2.2,3.9,8.7,42.1,C
31,Trae Young,21,ATL,2120,81.17255632,1.7,11.6,6.7,1.6,0.4,45.6,34.9,0.162,0.595,12.3,7.1,4.8,1.5,2,3.1,42.1,PG
32,Bradley Beal,26,WAS,2053,71.22078432,2.6,10.2,6.3,1.6,0.9,29.5,34.4,0.114,0.579,9.7,2.5,2.3,4.5,2.2,9.7,40.5,SG
33,Steven Adams,26,OKC,1680,58.78317237,14,24.8,19.4,1.5,3.8,13.2,17.3,0.142,0.604,9.9,3.4,2.3,3.2,6.7,21.8,40.3,C
34,Russell Westbrook,31,HOU,2049,74.3756785,5.3,18.4,11.9,2.2,0.8,35.6,34.4,0.15,0.536,9.7,3.8,3,5.4,1.1,5.9,40.1,PG
35,Kristaps Porziņģis,24,DAL,1814,65.32827926,6.3,26.1,16.5,1.3,6.2,8.8,27,0.08,0.551,7.7,4.3,2.9,4.8,2.9,14,39.7,PF
36,Joel Embiid,25,PHI,1506,65.14606368,9.9,32.8,21.2,1.5,3.9,16.9,32.9,0.138,0.59,9.5,2.4,1.7,3,4.2,12.5,38.8,C
37,Ricky Rubio,29,PHO,2016,65.92120752,2.4,13.8,8,2.2,0.5,39.7,20.4,0.179,0.535,6.6,0.7,1.4,4.1,2.7,11.1,38.5,PG
38,Montrezl Harrell,26,LAC,1749,59.41417325,9.8,16.4,13.1,1.1,3.6,10.3,25.7,0.101,0.607,6.8,2.4,1.9,2.9,6,17.3,38.4,C
39,Pascal Siakam,25,TOR,2110,64.83445563,3.3,18.7,11.1,1.4,2.1,16.4,28.1,0.107,0.554,6.8,-1.1,0.5,4.1,2.9,11.9,38.4,PF
40,Kemba Walker,29,BOS,1742,53.63555479,2.3,11.3,6.9,1.5,1.7,24.2,27.2,0.105,0.575,8.8,5,3.1,5.2,4.4,23.1,38.4,PG
41,Gordon Hayward,29,BOS,1740,50.58005656,3.6,18.3,11.1,1.2,1.3,18.7,21.1,0.112,0.595,8.2,4.4,2.8,5.2,4.9,25.8,38.2,SF
42,Donovan Mitchell,23,UTA,2364,64.99404518,2.4,11.1,6.8,1.4,0.5,21.6,30.8,0.11,0.558,5.6,-1.5,0.3,6.7,1.7,11.3,38.1,SG
43,Andre Drummond,26,DET,1654,72.09296259,13.7,36.6,24.7,2.6,4.4,14,25.5,0.18,0.55,9.2,1.7,1.5,1.5,2,3,37.5,C
44,Al Horford,33,PHI,2025,59.88178662,5.4,19.1,12.1,1.3,2.7,19.2,17.5,0.097,0.536,8.7,1.6,1.8,4,3.4,13.5,36.7,C
45,Brandon Ingram,22,NOP,2104,65.62470173,2.7,16.6,9.7,1.4,1.6,19.3,28.1,0.131,0.587,7.6,2.2,2.2,3.7,1.9,7.2,36.4,PF
46,T.J. Warren,26,IND,2202,54.33812875,3.6,10.7,7.2,1.8,1.3,7.1,23.3,0.072,0.61,6.4,0.8,1.6,4.5,3.8,17.1,35.7,SF
47,Fred VanVleet,25,TOR,1928,56.15789667,1,10.1,5.6,2.4,0.7,27.7,21.7,0.123,0.553,7.7,-0.2,0.9,3.7,4.1,15.1,35.6,PG
48,Jrue Holiday,29,NOP,2117,68.10298129,4,10.8,7.5,2.3,2.1,29.1,24.5,0.145,0.537,8.6,3.2,2.8,3.8,0.6,2.4,35.3,SG
49,Pat Connaughton,27,MIL,1243,30.02759322,5.1,16.8,11.3,0.9,2.2,10.9,12.3,0.14,0.565,5.6,0.9,0.9,6.6,6,40.1,35.1,SG
50,Danilo Gallinari,31,OKC,1834,50.58059267,2.1,17.4,9.8,1.1,0.3,10.3,24.6,0.074,0.612,6.5,0,0.9,3.5,5.2,18.6,34.6,PF
51,Jaylen Brown,23,BOS,1934,50.10196217,3.6,17,10.5,1.8,1.1,9.7,24.7,0.112,0.583,6.2,2.4,2.1,5.8,3.2,18.6,34.4,SF
52,Duncan Robinson,25,MIA,2166,40.10666066,0.5,10.7,5.8,0.8,0.8,7.1,16,0.089,0.684,7.2,1.2,1.7,5.1,5.5,28.1,34.1,SF
53,Marcus Smart,25,BOS,1919,49.34204252,2.5,10.4,6.5,2.9,1.6,21.1,18.9,0.121,0.518,8.2,4.4,3.1,5.8,3.2,18.7,34,SG
54,Clint Capela,25,HOU,1279,48.25102951,14.4,31,22.8,1.3,4.8,5.7,16.1,0.127,0.626,8.4,2.5,1.5,3.4,5.8,19.5,33.9,C
55,Ivica Zubac,22,LAC,1326,47.17426111,15.6,26.5,21.1,0.6,4.3,9.1,16.4,0.118,0.651,8.4,4,2,2.2,9.2,20.2,33.7,C
56,OG Anunoby,22,TOR,2066,48.6226561,4.2,14.4,9.4,2.2,1.8,7.5,14.3,0.115,0.6,7.7,-0.2,0.9,4,4.6,18.5,33.6,SF
57,Mitchell Robinson,21,NYK,1412,51.12671644,13.2,18.1,15.6,1.7,6.9,3.9,13.3,0.083,0.726,12,2.9,1.7,1.6,10.1,15.6,33.4,C
58,Ersan İlyasova,32,MIL,986,26.95436939,6.6,22.7,15.1,1.1,1.5,6.6,16.1,0.088,0.589,4.6,-0.1,0.5,5.3,7.5,39.6,33.3,PF
59,CJ McCollum,28,POR,2556,65.66371393,2,10.7,6.4,1,1.4,19.1,25.9,0.081,0.541,6.1,0.7,1.7,4.8,0.2,1,33.3,SG
60,Ja Morant,20,MEM,2074,64.17227897,2.7,10.8,6.8,1.4,0.7,35.2,25.9,0.17,0.556,5.8,0.8,1.5,3.2,0.8,2.4,33.3,PG
61,Spencer Dinwiddie,26,BRK,1994,58.23001308,1.9,9.9,6.1,1.1,1,35,29.2,0.125,0.541,7.4,3.1,2.6,2.6,3.1,8.1,33.2,SG
62,LaMarcus Aldridge,34,SAS,1754,56.08560777,6.2,17.1,11.7,1,4,11.4,23.4,0.078,0.571,7.5,0.6,1.1,3.3,2.8,9.5,32.8,C
63,Zach LaVine,24,CHI,2085,64.33609462,2.2,13.9,7.9,2.1,1.1,21.7,31.7,0.133,0.568,8.5,0,1.1,1.5,0.6,0.9,32.6,SG
64,Will Barton,29,DEN,1916,51.86033445,4.5,17.2,10.9,1.6,1.4,16,20.1,0.099,0.549,7.8,2.3,2.1,4.5,2.9,13.1,32.5,SF
65,Joe Ingles,32,UTA,2137,49.82373888,1.4,12.2,6.9,1.4,0.4,24.4,15.1,0.193,0.595,5.7,-1.4,0.3,6.1,2.4,14.9,32.4,SF
66,Jamal Murray,22,DEN,1904,53.69400779,2.7,11.5,7.1,1.8,0.8,22.9,25.2,0.115,0.559,7.1,1.6,1.7,4.5,2.4,10.6,32.1,PG
67,Dorian Finney-Smith,26,DAL,2120,42.62285714,7.8,13.2,10.6,1.2,1.8,7.2,12.9,0.108,0.595,7.8,4.4,3.4,5.6,3.8,21.3,32,PF
68,Mikal Bridges,23,PHO,2042,46.62446749,3.4,11.9,7.6,2.4,1.9,8.6,12.7,0.12,0.62,8,2.1,2.1,4.2,4,16.9,31.8,SF
69,Maxi Kleber,28,DAL,1890,43.77964334,6.8,15.7,11.4,0.7,4.3,6.3,13.9,0.095,0.605,7.8,4.4,3,5,4,19.8,31.8,C
70,Wesley Matthews,33,MIL,1635,24.0879646,1.4,8.2,5,1.1,0.5,7.1,12.5,0.087,0.547,4.1,-0.6,0.6,8.7,4.4,38,31,SG
71,Julius Randle,25,NYK,2080,62.48916105,7.3,23.9,15.4,1.1,0.9,15.8,27.6,0.143,0.538,6.3,-2.8,-0.4,2.3,-0.4,-0.8,30.8,PF
72,Delon Wright,27,DAL,1570,45.44553846,5.1,14.4,9.9,3,1.4,21,14.4,0.138,0.554,8.3,4.9,2.7,4.2,3.8,15.8,30.6,SG
73,DeAndre Jordan,31,BRK,1234,46.80173019,13.4,35.5,25.1,0.8,3.9,12.6,14.1,0.178,0.682,9.9,5.6,2.4,1.6,8.6,14.1,30.5,C
74,Nemanja Bjelica,31,SAC,2011,53.8214213,6,19.3,12.5,1.5,1.7,14.7,17,0.125,0.602,8.8,1.6,1.8,1.8,3.8,6.7,30.3,PF
75,Myles Turner,23,IND,1826,52.14107197,5.5,19.5,12.7,1.3,6.1,5.4,17.9,0.114,0.566,7.4,1.8,1.8,3.7,2.3,8.5,30.3,C
76,Lou Williams,33,LAC,1864,53.54851532,1.7,9.3,5.6,1.1,0.6,30.1,28.4,0.144,0.546,4.2,-0.2,0.8,3.1,2,6.2,29.9,SG
77,Lonzo Ball,22,NOP,2025,62.35194514,3.9,16.3,10.2,2.2,1.7,29.1,18.5,0.211,0.517,8,2.6,2.3,3.6,-0.8,-2.7,29.8,PG
78,Devonte' Graham,24,CHO,2211,60.44417254,2,9,5.3,1.4,0.6,35.3,24.8,0.145,0.537,7.8,-1,0.6,2.5,-0.5,-1.3,29.6,PG
79,Paul George,29,LAC,1419,49.51767115,1.8,17.8,9.9,2.3,1.2,21.1,29.6,0.125,0.589,8.9,4.5,2.3,2.3,3.9,9.1,29.3,SF
80,Aaron Gordon,24,ORL,2017,56.74748926,5.7,19.6,12.6,1.2,1.6,17.4,20.7,0.104,0.516,7.5,0,1,2.2,0.8,1.9,29.3,PF
81,Royce O'Neale,26,UTA,2049,40.27796095,1.4,18.4,10,1.4,1.4,11.6,9.6,0.135,0.578,6.7,-0.4,0.8,5.8,3,17.8,29,PF
82,Kevin Love,31,CLE,1780,57.63925787,3.1,30.7,16.4,0.9,1,15.4,23.1,0.145,0.599,7.5,0.5,1.1,0,1.3,0,28.8,PF
83,Jerami Grant,25,DEN,1892,41.45399111,3.5,11.5,7.5,1.3,2.8,6.6,18,0.08,0.591,6.2,0.7,1.3,4.4,3.6,16,28.7,PF
84,P.J. Tucker,34,HOU,2467,42.45068026,5,15.8,10.5,1.5,1.2,6,8.7,0.139,0.559,7.4,1.5,2.2,6.5,2.2,14.4,28.4,PF
85,Nerlens Noel,25,OKC,1127,39.31410975,9.2,20.5,14.9,2.6,7.7,7.6,14.9,0.173,0.711,11.3,4.8,1.9,2.2,7.9,17.2,28.3,C
86,Malcolm Brogdon,27,IND,1666,50.9884334,3.2,14.4,8.9,1.1,0.5,33.8,25.2,0.137,0.541,7.1,1.5,1.5,3.4,1.6,5.5,28.2,PG
87,De'Aaron Fox,22,SAC,1634,54.07602751,2.3,11,6.6,2.1,1.3,35.3,29.8,0.141,0.558,8.1,0.9,1.2,1.4,1.5,2.1,28.1,PG
88,Dennis Schröder,26,OKC,1999,49.91118252,1.1,12,6.6,1.1,0.7,21.9,27.2,0.134,0.575,4.9,-1.6,0.2,3.9,1.6,6,28,PG
89,Buddy Hield,27,SAC,2216,56.42707864,2.8,13.6,8.1,1.4,0.7,15.5,27.2,0.121,0.566,6.4,-0.8,0.7,2,-0.3,-0.6,27.9,SG
90,Dejounte Murray,23,SAS,1687,54.37218907,4.3,19.3,11.9,3.1,0.8,23.1,20.8,0.154,0.524,7.3,0.4,1,3.2,0.5,1.5,27.9,PG
91,Enes Kanter,27,BOS,983,36.60311084,18.8,29.6,24.4,1.2,4.4,8.8,19.4,0.125,0.599,8,4.2,1.5,3,6.4,19,27.8,C
92,Derrick White,25,SAS,1677,46.03501421,2.2,11.7,7,1.2,2.8,20,18.9,0.121,0.593,6.8,-0.1,0.8,3.2,2.9,9.3,27.7,SG
93,Jakob Poeltl,24,SAS,1171,42.70900474,11.8,21.7,16.8,1.5,6.6,13.6,13.2,0.151,0.612,10.5,3.6,1.6,2.2,5.4,12.1,27.4,C
94,Karl-Anthony Towns,24,MIN,1187,51.01523531,8,25.9,16.6,1.2,3.1,22.8,28.8,0.132,0.642,14.5,5.8,2.3,0.9,4.1,3.7,27.4,C
95,John Collins,22,ATL,1363,50.03300745,9.4,24.3,16.9,1.2,4.6,7.6,22.7,0.101,0.659,10.3,5.1,2.4,1,4.6,4.5,27.3,PF
96,Kelly Oubre Jr.,24,PHO,1933,48.17058948,3.6,16.4,9.9,1.7,1.8,6.6,22.4,0.082,0.56,5.3,-0.6,0.7,4,1.6,6.5,27.3,SF
97,Brandon Clarke,23,MEM,1300,43.37076853,7.8,20.9,14.5,1.2,3.1,9.5,18.7,0.094,0.663,8.5,3.5,1.8,2,5.6,11.1,27.2,PF
98,Derrick Jones Jr.,22,MIA,1375,32.42725461,5.5,12.7,9.3,2.1,2.5,6.7,13.9,0.069,0.62,8,2,1.4,3.3,6.7,21.9,27.2,SF
99,Harrison Barnes,27,SAC,2482,49.97382831,3.4,12.5,7.9,0.8,0.4,9.2,17.4,0.088,0.574,5.2,-2,0,2.2,1.9,4.2,27.1,PF
100,Tim Hardaway Jr.,27,DAL,2091,43.18522662,1.4,10.7,6.2,1.1,0.2,9.7,21.1,0.067,0.581,5.1,1.7,1.9,5.5,2,11.1,27.1,SG
101,Joe Harris,28,BRK,2123,43.58352379,3.5,11.5,7.8,1.1,0.7,10.4,18.3,0.112,0.606,6.8,2.5,2.4,2.8,3.7,10.4,27,SF
102,Dwight Howard,34,LAL,1306,42.39889902,13.3,27.8,20.3,1.1,5.3,4.8,14.7,0.185,0.696,7.1,0.9,1,1.8,6.6,11.7,27,C
103,Derrick Favors,28,NOP,1243,42.92878003,14.4,28.8,21.7,1.2,3.4,9.2,14,0.129,0.62,8.8,3.4,1.7,2.2,5,10.9,26.9,C
104,Goran Dragić,33,MIA,1663,44.14165125,2,9.9,6.1,1.2,0.5,29.2,25.9,0.148,0.573,5.5,-0.5,0.6,3.9,2.4,9.3,26.7,PG
105,Evan Fournier,27,ORL,2076,48.69489413,0.9,7.9,4.4,1.7,0.6,16.6,23.9,0.109,0.595,6.8,-0.7,0.7,2.3,1.8,4.1,26.4,SG
106,Christian Wood,24,DET,1325,46.95464132,7.9,23.8,15.5,1.1,3.7,7.6,23,0.12,0.659,7.4,-0.1,0.6,1.2,4.6,5.6,26.3,PF
107,Serge Ibaka,30,TOR,1485,44.42520283,8.4,23.9,16.3,0.9,2.6,8.6,24,0.131,0.583,5,-2.9,-0.3,2.9,2.7,7.8,26.1,C
108,Thomas Bryant,22,WAS,1147,39.32247211,8.9,22.4,15.4,1,3.6,11.1,18.9,0.102,0.649,9.3,2.1,1.2,2.5,5.1,12.7,26,C
109,Monte Morris,24,DEN,1636,39.87219274,1.7,7.9,4.8,1.7,1,22.1,17.5,0.081,0.545,4.9,-0.6,0.6,3.8,3.2,12.1,26,PG
110,Markelle Fultz,21,ORL,1996,52.10347646,2.2,10.6,6.4,2.2,0.5,29,21.4,0.149,0.517,5.2,-2.3,-0.2,2.2,-0.4,-0.8,25.7,PG
111,Justin Holiday,30,IND,1826,39.83158904,2,12.5,7.4,2.4,2.1,6.7,13.4,0.079,0.585,7.8,2.2,1.9,3.7,3.1,11.5,25.7,SG
112,Bojan Bogdanović,30,UTA,2083,45.21471668,2,11,6.6,0.8,0.3,10,25.5,0.131,0.603,3.8,-3.3,-0.7,5.9,1,5.9,25.6,SF
113,Tristan Thompson,28,CLE,1721,50.56191745,13.5,22.6,17.9,0.9,2.6,10.5,18.3,0.14,0.54,6.9,-0.1,0.8,0,0.8,0,25.3,C
114,Troy Brown Jr.,20,WAS,1782,46.67237286,4.4,19,11.5,2.2,0.3,14.1,17.8,0.104,0.524,6,-1.2,0.4,3.9,0.9,3.4,25,SG
115,Terry Rozier,25,CHO,2164,51.72962014,2.4,12.2,7.1,1.4,0.4,20.4,23.7,0.121,0.553,7.1,-1.7,0.2,2.5,-0.7,-1.7,25,PG
116,Dāvis Bertāns,27,WAS,1583,38.72058341,2.3,14.6,8.3,1.1,1.7,8.4,19,0.082,0.628,8.1,0.9,1.2,3.5,3.1,10.8,24.8,PF
117,JaVale McGee,32,LAL,1130,39.6097942,11.2,25.4,18.1,1.5,7.3,4.6,14.8,0.139,0.652,7.8,1.6,1,1.5,6.5,10,24.8,C
118,Norman Powell,26,TOR,1479,37.60883184,1.9,11.6,6.9,1.9,1.2,9.7,21.5,0.104,0.624,6.8,-1.1,0.3,2.8,4,11.4,24.5,SG
119,Deandre Ayton,21,PHO,1236,43.13085131,12.5,25.2,18.7,1,4.1,9.7,23.7,0.116,0.568,6.6,0.7,0.8,2.5,2.2,5.5,24.3,C
120,Tomáš Satoranský,28,CHI,1878,46.99952549,4.5,11.1,7.7,2.1,0.3,27.1,16.7,0.177,0.533,6.7,-1.8,0.1,1.3,1,1.3,24.1,PG
121,Collin Sexton,21,CLE,2143,48.19431396,2.9,7.4,5.1,1.5,0.3,15.1,27.2,0.116,0.56,4.3,-2.7,-0.4,0,-1,0,24.1,SG
122,Kelly Olynyk,28,MIA,1300,33.6380543,3.9,21,12.8,1.7,1.6,13.3,17.4,0.138,0.621,7.3,1.3,1.1,3.1,4.6,14.3,24,C
123,Ish Smith,31,WAS,1787,48.25996544,1.7,11.7,6.5,1.6,1.4,27.1,19.1,0.116,0.509,4.8,-2.4,-0.2,3.9,-0.1,-0.5,23.9,PG
124,Seth Curry,29,DAL,1576,33.43466174,2,8.1,5.1,1.3,0.6,11.6,18.4,0.091,0.643,6.3,2.9,1.9,4.2,3.4,14,23.7,SG
125,Dario Šarić,25,PHO,1632,40.1464224,6.4,20.2,13.2,1.1,0.8,10.8,17.8,0.129,0.592,5.9,0,0.8,3.3,2.2,7.2,23.7,PF
126,Danuel House,26,HOU,1913,37.74442724,3.3,11.8,7.6,1.7,1.5,6.1,13.7,0.085,0.572,6.8,0.9,1.4,5.1,1.8,9.3,23.5,SF
127,Jaren Jackson Jr.,20,MEM,1622,43.33594825,3.7,13.7,8.8,1.2,4.8,7.2,24,0.106,0.593,7.1,2.1,1.7,2.5,1.4,3.6,23.5,C
128,T.J. McConnell,27,IND,1326,41.51789178,3.3,12.6,8.1,2.1,0.7,37.6,17.5,0.189,0.54,4.6,-1,0.3,2.7,1.9,5.2,23.4,PG
129,Josh Hart,24,NOP,1755,42.57294885,3.8,22,13.1,1.8,1.2,8.2,15.3,0.114,0.563,6.7,1.3,1.5,3.1,0.9,2.9,22.7,SF
130,Kyle Korver,38,MIL,960,19.03650412,1.6,10.4,6.3,1.3,1.1,9.2,15.4,0.134,0.62,5,0.3,0.6,5.1,5.1,26,22.5,SF
131,Mason Plumlee,29,DEN,1057,34.69857159,10.5,23.7,17.1,1.6,3.3,20.9,18,0.187,0.613,9,3.5,1.5,2.5,4.2,10.4,22.5,C
132,Bogdan Bogdanović,27,SAC,1766,43.33524606,1.6,11.4,6.5,1.7,0.7,18,22.6,0.111,0.565,6.6,-0.6,0.6,1.6,0.7,1.1,22.2,SG
133,Marquese Chriss,22,GSW,1196,41.71974958,9.7,22.9,16.1,1.4,4.3,15.3,19,0.147,0.604,9.3,0.1,0.6,0.9,2.7,2.5,22.1,PF
134,Richaun Holmes,26,SAC,1242,37.17974257,11.1,20.8,15.9,1.6,3.9,5.1,15.6,0.116,0.681,8.8,1.6,1.1,1.1,6.4,7.1,22.1,C
135,Kendrick Nunn,24,MIA,1962,41.61093946,1.2,8.5,5,1.4,0.7,18.5,24.1,0.106,0.534,3.6,-2.4,-0.2,4.6,0.6,2.6,22.1,SG
136,Larry Nance Jr.,27,CLE,1472,44.05604867,7.4,22.9,14.8,1.8,1.3,12.3,15.2,0.115,0.608,8.9,1.9,1.4,0,3.4,0,22,C
137,Brad Wanamaker,30,BOS,1369,29.53650028,1.8,9.7,5.8,2.4,1.1,17.8,15.5,0.153,0.577,5.1,1.3,1.1,4.1,3.4,14.2,21.9,PG
